Disease,Symptoms
Fungal infection,"dischromic _patches, itching, nodal_skin_eruptions, skin_rash"
Fungal infection,"dischromic _patches, nodal_skin_eruptions, skin_rash"
Fungal infection,"dischromic _patches, itching, nodal_skin_eruptions"
Fungal infection,"dischromic _patches, itching, skin_rash"
Fungal infection,"itching, nodal_skin_eruptions, skin_rash"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes"
Allergy,"chills, shivering, watering_from_eyes"
Allergy,"chills, continuous_sneezing, watering_from_eyes"
Allergy,"continuous_sneezing, shivering, watering_from_eyes"
Allergy,"chills, continuous_sneezing, shivering"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting"
GERD,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting"
GERD,"acidity, chest_pain, cough, stomach_pain, vomiting"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue"
GERD,"acidity, chest_pain, stomach_pain, ulcers_on_tongue, vomiting"
GERD,"acidity, cough, stomach_pain, ulcers_on_tongue, vomiting"
GERD,"acidity, chest_pain, cough, ulcers_on_tongue, vomiting"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"abdominal_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"abdominal_pain, itching, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowish_skin"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_ urination, stomach_pain"
Drug Reaction,"burning_micturition, itching, spotting_ urination, stomach_pain"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_ urination"
Drug Reaction,"itching, skin_rash, spotting_ urination, stomach_pain"
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain"
Drug Reaction,"burning_micturition, skin_rash, spotting_ urination, stomach_pain"
Peptic ulcer diseae,"abdominal_pain, internal_itching, loss_of_appetite, passage_of_gases, vomiting"
Peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, passage_of_gases, vomiting"
Peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases"
Peptic ulcer diseae,"indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting"
Peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, vomiting"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, passage_of_gases, vomiting"
Peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat"
AIDS,"extra_marital_contacts, high_fever, patches_in_throat"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting"
AIDS,"extra_marital_contacts, muscle_wasting, patches_in_throat"
AIDS,"high_fever, muscle_wasting, patches_in_throat"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, weight_loss"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, obesity, polyuria, restlessness, weight_loss"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, lethargy, obesity, polyuria, restlessness, weight_loss"
Diabetes ,"excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, polyuria, restlessness, weight_loss"
Diabetes ,"blurred_and_distorted_vision, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes"
Gastroenteritis,"dehydration, diarrhoea, vomiting"
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting"
Gastroenteritis,"dehydration, sunken_eyes, vomiting"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum"
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum"
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, mucoid_sputum"
Bronchial Asthma,"cough, family_history, fatigue, high_fever, mucoid_sputum"
Bronchial Asthma,"breathlessness, cough, fatigue, high_fever, mucoid_sputum"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance"
Hypertension ,"chest_pain, dizziness, lack_of_concentration, loss_of_balance"
Hypertension ,"dizziness, headache, lack_of_concentration, loss_of_balance"
Hypertension ,"chest_pain, headache, lack_of_concentration, loss_of_balance"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration"
Hypertension ,"chest_pain, dizziness, headache, loss_of_balance"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances"
Migraine,"blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, irritability, stiff_neck, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, indigestion, irritability, stiff_neck, visual_disturbances"
Migraine,"acidity, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, depression, headache, indigestion, irritability, stiff_neck, visual_disturbances"
